Sex,Age,Fare,FamilySize,IsAlone,Deck,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Pclass_1,Pclass_2,Pclass_3
0,-0.5292047224968899,-0.5024451714361923,0.059159876663617626,0,,False,False,True,False,False,True,False,False,False,False,True
1,0.6574473880901118,0.7868452935884461,0.059159876663617626,0,C,True,False,False,False,False,False,True,False,True,False,False
1,-0.23254169485013945,-0.4888542575852486,-0.5609748304808925,1,,False,False,True,False,True,False,False,False,False,False,True
1,0.43495011735504896,0.4207302360686478,0.059159876663617626,0,C,False,False,True,False,False,False,True,False,True,False,False
0,0.43495011735504896,-0.4863374216869257,-0.5609748304808925,1,,False,False,True,False,False,True,False,False,False,False,True
0,-0.23254169485013945,-0.47811642890864375,-0.5609748304808925,1,,False,True,False,False,False,True,False,False,False,False,True
0,1.8440994986771135,0.395813560675251,-0.5609748304808925,1,E,False,False,True,False,False,True,False,False,True,False,False
0,-2.012519860730642,-0.22408312108167944,1.9195639980971482,0,,False,False,True,True,False,False,False,False,False,False,True
1,-0.15837593793845184,-0.4242561406845337,0.6792945838081278,0,,False,False,True,False,False,False,True,False,False,False,True
1,-1.1225307777903908,-0.04295550208861426,0.059159876663617626,0,,True,False,False,False,False,False,True,False,False,True,False
1,-1.8641883469072666,-0.312172377522981,0.6792945838081278,0,G,False,False,True,False,True,False,False,False,False,False,True
1,2.1407625263238637,-0.11384570873513637,-0.5609748304808925,1,C,False,False,True,False,True,False,False,False,True,False,False
0,-0.677536236320265,-0.4863374216869257,-0.5609748304808925,1,,False,False,True,False,False,True,False,False,False,False,True
0,0.7316131450017994,-0.01870931177853076,3.1598334123861687,0,,False,False,True,False,False,True,False,False,False,False,True
1,-1.1225307777903908,-0.4902797934380587,-0.5609748304808925,1,,False,False,True,False,True,False,False,False,False,False,True
1,1.9182652555888011,-0.3262666585535892,-0.5609748304808925,1,,False,False,True,False,False,False,True,False,False,True,False
0,-2.012519860730642,-0.06199888922968463,2.5396987052416584,0,,False,True,False,True,False,False,False,False,False,False,True
0,0.13828708970829856,-0.3866707201133388,-0.5609748304808925,1,,False,False,True,False,False,True,False,False,False,True,False
1,0.13828708970829856,-0.2859972841804228,0.059159876663617626,0,,False,False,True,False,False,False,True,False,False,False,True
1,0.13828708970829856,-0.5029485386158568,-0.5609748304808925,1,,True,False,False,False,False,False,True,False,False,False,True
0,0.43495011735504896,-0.12491978668775715,-0.5609748304808925,1,,False,False,True,False,False,True,False,False,False,True,False
0,0.3607843604433614,-0.3866707201133388,-0.5609748304808925,1,D,False,False,True,False,False,True,False,False,False,True,False
1,-1.048365020878703,-0.4867562231804066,-0.5609748304808925,1,,False,True,False,False,True,False,False,False,False,False,True
0,-0.08421018102676424,0.06635974158478332,-0.5609748304808925,1,A,False,False,True,False,False,True,False,False,True,False,False
1,-1.5675253192605163,-0.22408312108167944,1.9195639980971482,0,,False,False,True,False,True,False,False,False,False,False,True
1,0.6574473880901118,-0.016444159470040135,3.1598334123861687,0,,False,False,True,False,False,False,True,False,False,False,True
0,-0.23254169485013945,-0.5029485386158568,-0.5609748304808925,1,,True,False,False,False,False,True,False,False,False,False,True
